Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Quarter,Day,DayOfWeek,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Mean_30,Rolling_STD_7,Rolling_STD_30,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Lower,BB_Width,ATR_14,Momentum_10
2002-01-17,114.579353,115.248566,112.103249,114.627151,68.495026,11666770,2002,1,1,17,3,112.237091,119.216064,111.510513,114.87844728571429,116.36838703333333,2.359432855815229,1.8776054525989159,116.65630865,113.68546794,115.57199373721141,41.33784552099684,0.15674251454693433,1.0079835881348889,-0.8512410735879545,120.96059219947004,112.35202510052996,8.608567098940085,2.231631785714284,-3.594643000000005
2002-01-18,109.225624,109.847038,107.848946,109.225624,65.267372,19288449,2002,1,1,18,4,114.627151,119.015297,116.061188,113.47992257142857,116.14053489999999,2.399698811387687,2.2864206290663285,116.1955058,113.69770502000001,114.96757757176272,33.25593969670332,-0.34790217865764816,0.7368064347763815,-1.0847086134340298,121.54208965298739,110.84892194701263,10.693167705974759,2.6113096428571416,-10.850861000000009
2002-01-22,109.225624,109.235184,105.478012,105.640533,63.125134,10596398,2002,1,1,22,1,109.225624,116.768639,114.856598,111.89019314285714,115.83333273333332,3.354127353596258,2.9790892515843854,115.61233164999999,113.63365152,114.07928761254722,31.078176120855048,-1.0253045430924885,0.38438423920260756,-1.409688782295096,122.70806971734184,108.51659358265813,14.191476134683711,2.7233009999999984,-12.95411
2002-01-23,105.927345,106.357552,102.294456,103.154877,61.63982,13134308,2002,1,1,23,2,105.640533,115.019119,115.105164,110.19530142857143,115.43498983333333,4.357139494724654,3.7729843140901473,114.9383357,113.52064966,113.03886755420939,27.10439572766147,-1.7426344577569068,-0.041019500189295344,-1.7016149575676116,123.93210490129178,105.94456649870821,17.987538402583567,2.8974332857142846,-16.061187000000004
2002-01-24,104.015297,104.904396,102.361374,103.938812,62.108253,8976249,2002,1,1,24,3,103.154877,112.858505,114.397705,108.92105957142857,115.08636006666667,4.736263435670694,4.316235476305865,114.329827,113.41816400000002,112.17219559666565,23.660118429479397,-2.2222498671634128,-0.4772655735841188,-1.7449842935792939,124.55292668300842,104.10672731699157,20.446199366016856,2.8079769285714278,-15.076485000000005
2002-01-25,103.728493,105.822182,103.346077,104.47419,62.428169,7072843,2002,1,1,25,4,103.938812,113.623329,116.156792,107.61403971428571,114.69694,4.47769198081045,4.724075028131284,113.70267630000001,113.31147196,111.43905220650701,19.755410765590753,-2.5299839244800495,-0.8878092437633051,-1.6421746807167446,124.73827534068249,102.66707725931752,22.07119808136497,2.852363642857142,-12.294449
2002-01-28,104.684509,105.363289,102.351814,103.393883,61.782654,7419173,2002,1,1,28,0,104.47419,112.237091,117.782028,106.35072428571428,114.21733516666669,4.19451449809557,5.1143151594789105,112.96892885000003,113.14799204,110.67284561541112,20.06781191994513,-2.8284327166856116,-1.2759339383477664,-1.5524987783378452,124.71103765983692,101.22682004016313,23.484217619673785,2.8974337857142842,-11.625236000000001
2002-01-29,103.393883,103.785851,97.906311,98.47036,58.840595,15176832,2002,1,1,29,1,103.393883,114.627151,114.961761,104.04261128571429,113.6676218,3.2112540131449325,5.863028170391487,112.01768605,112.93097484,109.51070412822911,15.067630611308658,-3.422786936029752,-1.7053045378841634,-1.7174823981455885,125.20891345969308,98.82645864030691,26.38245481938617,3.2170182142857127,-14.388144999999994
2002-01-30,99.66539,101.099426,96.558319,100.908218,60.297318,18528112,2002,1,1,30,2,98.47036,109.225624,115.774376,102.85441042857143,113.1720832,2.4135370156789007,6.2914147781934515,111.28107030000001,112.75506648000001,108.69141973506443,21.646719763551545,-3.6549699519143957,-2.09523762069021,-1.5597323312241858,125.24330121656476,97.31883938343526,27.9244618331295,3.3884191428571415,-12.715110999999993
2002-01-31,101.72084,103.231361,99.866158,103.145317,61.634136,10331342,2002,1,1,31,3,100.908218,105.640533,116.003822,102.49795099999999,112.74346636666668,2.0969688416484655,6.525496470821452,110.63049655,112.62868022,108.16321947458209,28.661299563963382,-3.616769603084265,-2.399544017169021,-1.2172255859152439,124.84639856795413,96.41459453204588,28.431804035908243,3.419148642857142,-9.091774000000001
2002-02-01,102.906311,104.493309,101.950287,103.250481,61.696949,7112277,2002,2,1,1,4,103.145317,103.154877,116.826004,102.51160871428571,112.29094893333334,2.1022652003800757,6.700971412724659,109.8819309,112.494837,107.69533961986,30.565228560536823,-3.537234656244891,-2.627082144984195,-0.9101525112606961,123.99102617683255,95.77283562316745,28.218190553665096,3.4710469999999995,-11.376670000000004
2002-02-04,103.250481,103.250481,101.328873,102.103249,61.01144,6905587,2002,2,1,4,0,103.250481,103.938812,118.441681,102.24938542857144,111.74633453333333,2.0068895880971467,6.846209870118516,108.98326909999999,112.32963620000001,107.1627595608257,31.6236746636435,-3.526127667624337,-2.8068912495122236,-0.7192364181121134,122.64068122643758,95.3258569735624,27.314824252875184,3.3891024285714275,-7.122374999999991
2002-02-05,101.577438,103.728493,101.338432,101.625237,60.725784,7047634,2002,2,1,5,1,102.103249,104.47419,117.304016,101.84239214285715,111.22370856666666,1.753374653366047,7.003944093173811,108.1347988,112.17590772000001,106.63537645979468,29.297272188916182,-3.51537383132478,-2.948587765874735,-0.566786065450045,121.38031358881472,94.88928401118528,26.491029577629433,3.4246123571428555,-4.015296000000006
2002-02-06,102.007645,103.078392,100.697899,101.940727,60.994652,6976611,2002,2,1,6,2,101.625237,103.393883,116.634796,101.63479842857144,110.73390626666668,1.620021392001435,7.125230652557396,107.27103195,112.00917736000001,106.1882669874333,31.55192162122914,-3.4417199273142955,-3.047214198162647,-0.3945057291516485,119.70195788583915,94.84010601416084,24.86185187167831,3.4853875714285687,-1.2141500000000036
2002-02-07,101.950287,102.294456,99.292542,99.340347,59.438736,7587475,2002,2,1,7,3,101.940727,98.47036,116.108986,101.75908228571429,110.17495163333334,1.347190119785345,7.343416582152112,106.28728444999999,111.77170131999999,105.53608413148727,22.815390680227466,-3.552229718447805,-3.148217302219679,-0.404012416228126,117.89146189691327,94.6831070030867,23.208354893826566,3.475144499999998,-4.5984650000000045
2002-02-08,98.47036,101.070747,98.097511,100.372849,60.05653,8723012,2002,2,1,8,4,99.340347,100.908218,117.017204,101.68260099999999,109.6201398,1.416936501361887,7.436808639196525,105.46749494999999,111.59560194,105.044347452298,31.360716588651144,-3.5159653813763754,-3.2217669180510184,-0.29419846332535693,116.2407668914943,94.69422300850567,21.54654388298863,3.203360999999998,-4.101340999999991
2002-02-11,100.382408,102.954109,99.913956,102.657745,61.423668,6560407,2002,2,1,11,0,100.372849,103.145317,118.068832,101.61294785714287,109.1064369,1.343109644026425,7.365004344221128,104.84942625,111.5043974,104.81705198065056,43.356059615193395,-3.265214263940038,-3.2304563872288226,-0.03475787671121555,114.69370953872505,95.00514296127494,19.688566577450104,3.1521453571428557,-0.7361379999999969
2002-02-12,102.05545,103.145317,101.39579,101.883362,60.960323,4769551,2002,2,1,12,1,102.657745,103.250481,117.495216,101.41764514285714,108.58604176666667,1.1509610519409805,7.303122251759005,104.30066910000001,111.35411054000001,104.53765293487432,46.93406334316786,-3.0933205592370427,-3.2030292216304668,0.10970866239342403,113.46526453993644,95.13607366006357,18.32919087987287,2.986890428571427,3.413002000000006
2002-02-13,102.007645,103.709366,101.453156,103.317398,61.818359,5320897,2002,2,1,13,2,101.883362,102.103249,115.640533,101.591095,108.1752706,1.3463953330531535,7.238934518993289,103.78537254999999,111.21032468000001,104.421438179172,48.5471653295153,-2.8089984537376864,-3.1242230680519105,0.3152246143142241,111.83385484236949,95.73689025763049,16.096964584739,2.9664038571428546,2.409179999999992
2002-02-14,104.206497,104.349907,102.485657,103.145317,61.715408,6083850,2002,2,1,14,3,103.317398,101.625237,116.156792,101.80824928571428,107.74155476666667,1.469752293171403,7.133252589771274,103.33078384999999,111.091013,104.29990282877466,46.83947262809721,-2.5679548502411933,-3.0129694244897673,0.44501457424857405,110.32763920194114,96.33392849805884,13.9937107038823,2.9226999285714257,0.0
2002-02-15,100.191208,100.191208,97.227531,98.365204,58.855301,19042012,2002,2,1,15,4,103.145317,101.940727,118.221794,101.29746028571428,107.07966843333334,1.9566852709256763,7.04799608726981,102.51768650000001,110.82810682000002,103.73469341651041,39.829862908964614,-2.731158136957717,-2.9566071669833573,0.22544903002564043,107.46727349656163,97.56809950343839,9.899173993123242,3.13029357142857,-4.885276999999988
2002-02-19,97.036331,97.323135,94.512428,96.845123,57.945789,14012111,2002,2,1,19,1,98.365204,99.340347,120.076485,100.94099971428571,106.3052897,2.5191026648558954,6.844056125495797,101.89866144999999,110.44378551999998,103.07854385303322,46.18834825320706,-2.949159673422713,-2.955117668271229,0.005957994848516002,106.39158372563124,97.40573917436875,8.985844551262488,2.9855247142857135,-5.258126000000004
2002-02-20,95.162521,95.602295,92.734222,94.942642,56.807461,15193359,2002,2,1,20,2,96.845123,100.372849,118.594643,100.16525585714287,105.51688966666667,3.4039271370880537,6.741089503327906,101.3637669,110.04550640000001,102.30369605750624,35.64859903916242,-3.2381148068534316,-3.01171709598767,-0.22639771086576177,106.4843656628974,96.2431681371026,10.241197525794803,2.9547957142857135,-6.682594999999992
2002-02-21,94.407265,95.315491,91.787766,92.141495,55.131435,10597758,2002,2,1,21,3,94.942642,102.657745,119.216064,98.66293442857145,104.61440403333333,4.318367132952138,6.655632145907019,100.81309780000001,109.58623302,101.33586738536279,24.227508359331836,-3.6510558851042276,-3.1395848538109816,-0.511471031293246,107.30722502523969,94.31897057476033,12.98825445047936,2.9664044285714266,-9.79923199999999
2002-02-22,92.141495,94.837479,91.548759,94.120461,56.31551,10953294,2002,2,1,22,4,92.141495,101.883362,119.015297,97.55394857142858,103.78457616666667,4.350167273734541,6.342805949528507,100.32218025,109.18068814,100.64868582485205,30.341704777407458,-3.7751115118237664,-3.2666901854135384,-0.508421326410228,107.28866115943556,93.35569934056444,13.93296181887112,3.01966857142857,-5.219885999999988
